community_id,person_id
35,1831; 2338; 2801; 2845; 2854; 3134; 3936; 3940; 4168; 4220; 4221; 4660; 4669; 6122; 6251; 7512; 8455; 9482; 10462; 10470; 10480; 10528; 10579; 10753; 11285; 13787
67,2798; 2799; 2810; 4113; 6405; 10280; 11285
1037,9442
216,2683; 6452
523,9169; 13190
672,5; 4358; 9361; 13869
1196,8964; 11285
195,5717
1184,3883; 4358; 8538; 9083; 9121; 13654
1000,4632
101,4168
1145,96; 10019; 10311; 10373; 11385; 13086; 13119; 13121; 13648
287,2948
471,4228
364,13547
532,3296; 5490; 6161; 6526; 9690
1091,6353; 13547
1137,13112
371,13121; 13123
198,12828; 13541
1313,4358
1617,13246; 13647; 13795; 13796; 13797
378,7815; 7918
1364,6681; 10961; 13566
909,5461; 6646
1437,8730
183,2916
1297,8571
226,5822; 6452
590,6285
1266,13596
1065,1728; 2810; 4354; 5461; 5717; 6037; 6892; 10280; 10546; 13066
1355,23; 2510; 2810; 5717; 5801; 10199
979,2409
1679,11437
1206,2662
269,1985
1369,13628; 13683
1231,7007; 11131
825,4354; 6100
1176,7083
286,2328; 3778; 13096
1173,9593
1095,9895; 10018
526,5122; 10457
1596,12479; 13790
1201,13588
947,3307; 4302; 7069; 7162; 13510; 13588
1200,13588
1295,7069
1192,7162
1204,7069; 13588
1119,3109; 5331
1128,6801
1089,13540
1073,9; 7442; 13648
861,10961; 13082
68,2789; 2845; 3182; 3307; 3881; 3937; 3938; 4086; 4168; 4175; 4358; 5706; 5795; 6147; 6547; 7637; 9201; 9482; 11453; 11877
1579,13867
361,2506; 6198; 6928; 6929; 7876; 7876; 7877; 7881; 7882; 7937
1400,8354
318,2871; 2891; 8354; 8964; 13195
326,7083
723,8538
335,8105
