map_region_id,bdrc_id,label,wylie,tibetan,chinese,lat,long,region_type,html,zoom_min,zoom_max,type,zoom_level_on_click,map_priority_level_id
74,,Kyakya,skya skya,སྐྱ་སྐྱ།,加加,29.33193,85.232458,,,9,21,city,11,5
76,G2168,Gampa,gam pa,གམ་པ།,岗巴县,28.27657,88.51384,,,9,21,city,11,5
77,G2147,Nakchu,nag chu,ནག་ཆུ།,那曲,31.479219,92.058258,,,7,21,city,11,5
78,G2397,Lhari,lha ri,ལྷ་རི།,嘉黎,30.644492,93.230165,,,8,21,city,11,5
79,G2146,Nyenrong,gnyan rong,གཉན་རོང།,聂荣,32.115716,92.301207,,,8,21,city,11,5
80,G2145,Amdo,a mdo,ཨ་མདོ།,安多县,32.264253,91.681229,,,8,21,city,11,5
81,G2142,Shentsa,shan rtsa,ཤན་རྩ།,申扎,30.92874,88.70104,,,8,21,city,11,5
82,G2143,Pelgon,dpal mgon,དཔལ་མགོན།,班戈,31.39966,90.00875,,,8,21,city,11,5
83,G3155,Drachen,sbra chen,སྦྲ་ཆེན།,巴青,31.919804,94.052451,,,8,21,city,11,5
84,G2377,Nyima,nyi ma,ཉི་མ།,尼玛,31.796861,87.239544,,,8,21,city,11,5
85,,Toding,mtho lding ,མཐོ་ལྡིང་།,托林,31.47731,79.79728,,,9,15,city,11,5
86,G2153,Gar,sgar,སྒར།,噶尔,32.50329,80.10527,,,8,21,city,11,5
87,G2156,Rutok,ru thog,རུ་ཐོག།,日土,33.380497,79.730854,,,8,21,city,11,5
88,G2157,Gertse,sger rtse,སྒེར་རྩེ།,改则县,32.303644,84.057804,,,8,21,city,11,5
90,G3CN30,Khotan,kho tAn,ཁོ་ཏཱན།,和阗,37.1144637,79.9196814,,,5,21,city,8,5
92,,Kashgar,,,,39.4722799,75.9849761,,,4,21,city,10,5
94,G1009,Dunhuang,tun hong,ཏུན་ཧོང།,敦煌,40.1379,94.6681,,,4,21,city,9,5
95,G2375,Golmud,gor mo,གོར་མོ།,格尔木,36.412519,94.918324,,,4,21,city,12,5
97,,Jiuquan,,,,39.733016,98.496552,,,6,21,city,9,5
98,,Wuwei,wu'u we,ཝུའུ་ཝེ།,武威,37.92926,102.641315,,,5,21,city,9,5
99,,Jinchang,,,金昌市,38.520727,102.186241,,,6,21,city,9,5
100,,Wuhai,,,,39.67497,106.81183,,,5,21,city,9,5
101,G895,Lanzhou,lan kru'u,ལན་ཀྲུའུ།,兰州,36.064777,103.828354,,,6,21,city,9,5
102,,Bayi,brgyad gcig grong,བརྒྱད་གཅིག་གྲོང།,八一,29.639986,94.36047,,,7,21,city,10,5
103,G2125,Kongpo Gyamda,kong po rgya mda',ཀོང་པོ་རྒྱ་མདའ།,工布江达,29.886148,93.244259,,,8,21,city,11,3
104,G2387,Menling,sman gling,སྨན་གླིང།,米林,29.216078,94.212396,,,8,21,city,11,5
105,G2122,Metok,me tog,མེ་ཏོག།,美多,29.326059,95.332293,,,8,21,city,11,5
106,G2953,Tramok,spra rmog,སྤྲ་རྨོག།,扎木,29.859337,95.756956,,,8,21,city,11,5
