community_id,community_name,place_type_id,place_type_name
227,"Gyachak Ri",1,Monastery
972,"Tsur Lhalung",1,Monastery
160,"Sho Monastery",1,Monastery
813,Shopamdo,1,Monastery
21,"Zhung Treuzhing ",1,Monastery
10,Mindroling,1,Monastery
1000,"Zurlung Pelchen Lhakhang",1,Monastery
1004,"Rigdzin Rapel Ling",1,Monastery
1010,Tsopu,1,Monastery
1013,Garje,1,Monastery
1056,"Lek Gon",1,Monastery
1066,Tharpaling,1,Monastery
1070,"Sera Tekchen Chokhorling",1,Monastery
1071,Bennak,1,Monastery
1073,Māratika,1,Monastery
1096,Muksang,1,Monastery
1097,"Yulkhyong Monastery",1,Monastery
11,"Dorje Drak",1,Monastery
1105,"Shukgang Monastery",1,Monastery
1106,"Domang Monastery",1,Monastery
1109,Janggang,1,Monastery
1111,"Tsangme Sengge",1,Monastery
1112,Sango,1,Monastery
1113,Kuntsar,1,Monastery
1141,Zhohong,1,Monastery
115,"Chung Riwoche ",1,Monastery
1165,Nangra,1,Monastery
1171,Dzagyel,1,Monastery
1172,"Yarlung Pemako",1,Monastery
1211,"Gojo Banak",1,Monastery
1212,"Dago Monastery",1,Monastery
1224,"Nyarong Gojam Gon",1,Monastery
1226,"Chodrak Gon",1,Monastery
1243,Khangmar,1,Monastery
1244,"Khemar Monastery",1,Monastery
1256,"Dungsam Riwo Tengyeling",1,Monastery
1261,Rashel,1,Monastery
1264,"Kunub Monastery",1,Monastery
1265,"Khyunggon Monastery",1,Monastery
1271,Tarpeling,1,Monastery
1277,"Zhiwa Gon",1,Monastery
1279,"Shabme Gomne",1,Monastery
1284,"Dzato Changmai Monastery",1,Monastery
13,Shechen,1,Monastery
