person_id,default_name,historical_period_name,historical_period_id
3107,Kelzang Gyatso,18th Century,69
7162,Ngawang Khedrub,18th Century,69
13173,Jampel Gendun Gyatso,18th Century,69
6622,Sonam Drakpa,18th Century,69
8069,Dondrub Gyatso,18th Century,69
6979,Ngawang Jampel Tsultrim Gyatso,18th Century,69
2339,Jampel Gyatso,18th Century,69
3141,Rolpai Dorje,18th Century,69
5317,Ngawang Chopel,18th Century,69
9372,Rigdzin Tsewang Norbu,18th Century,69
10561,Yungdrung Puntsok,18th Century,69
4497,Ngawang Chodrak,18th Century,69
6529,Lobzang Nyendrak,18th Century,69
8543,Tsondru Gyatso,18th Century,69
8551,Orgyen Jamyang,18th Century,69
8583,Choying Rangdrol,18th Century,69
13121,Drubtob Namgyel Lhundrub,18th Century,69
13123,Jigme Tenpai Gyeltsen,18th Century,69
13147,Drubwang Drakpa Gyeltsen,18th Century,69
2392,Lobzang Dorje,18th Century,69
2987,Kundrol Drakpa,18th Century,69
8609,Jikdrel Tutob Dorje,18th Century,69
8616,Jangchub Dorje,18th Century,69
13169,Sonam Tseten,18th Century,69
13197,Chowang Dorje Dzinpa,18th Century,69
13217,Ngawang Rinchen,18th Century,69
13221,Dampa Lodro Gyeltsen,18th Century,69
13225,Tokden Yungdrung Gyeltsen,18th Century,69
9590,Changlung Pelchen Namkha Jigme,18th Century,69
5485,Jampel Tsultrim,18th Century,69
3008,Lobzang Chokyi Nyima,18th Century,69
8343,Sherab Gyeltsen,18th Century,69
2436,Lobzang Dondrub,18th Century,69
7069,Lobzang Tenpai Dronme,18th Century,69
13507,Rinchen Peldzom,18th Century,69
11972,Lodro Gyatso,18th Century,69
13203,Gendun Konchok Lobzang Tendzin,18th Century,69
13615,Tamdrin Wangmo,18th Century,69
4494,Lobzang Drime,18th Century,69
2399,Yeshe Kelzang,18th Century,69
9383,Gyurme Tekchok Tendzin,18th Century,69
2787,Jamyang Khyenrab Gyatso,18th Century,69
9361,Lobzang Trinle,18th Century,69
4622,Jigme Ngotsar Gyatso,18th Century,69
4611,Zhabkar Tsokdruk Rangdrol,18th Century,69
5871,Tsangyang Gyatso,18th Century,69
3883,Pema Rangdol,18th Century,69
5729,Sumpa Khenpo Yeshe Peljor,18th Century,69
7473,Gonbujab,18th Century,69
6668,Nyima Drakpa,18th Century,69
13094,Ngawang Trinle Pelzang,18th Century,69
4631,Ngulchu Dharmabhadra,18th Century,69
7815,Shakya Rinchen,18th Century,69
5457,Jigme Lingpa,18th Century,69
10832,Namkha Wosel,18th Century,69
4676,Jigme Trinle Wozer,18th Century,69
6548,Taktsang Lobzang Rabten,18th Century,69
8782,Shākya Shrī,18th Century,69
6526,Ngawang Chokden,18th Century,69
5901,Gendun Tsultrim,18th Century,69
13124,Jigme Kundrol Namgyel,18th Century,69
6646,Jamyang Zhepai Dorje,18th Century,69
5338,Ngawang Tendar,18th Century,69
13688,Khamtrul Sherab Mebar,18th Century,69
3782,Jigme Tenpai Gyatso,18th Century,69
8578,Pema Kundrol Namgyel,18th Century,69
5805,Polhane Sonam Tobgye,18th Century,69
7874,Shakya Tendzin,18th Century,69
12403,Tsultrim Nyima,18th Century,69
7525,Lobzang Tsondru,18th Century,69
8539,Gyelse Sonam Deutsen,18th Century,69
5306,Doring Tenzin Peljor,18th Century,69
8892,Karma Gyurme Ngedon Tendzin,18th Century,69
2639,Karma Ngedon Tendzin Trinle Rabgye,18th Century,69
2640,Karma Ngelek Tendzin Trinle Rabgye,18th Century,69
11246,Karma Tashi,18th Century,69
3049,Lobzang Tenpai Gyeltsen,18th Century,69
3061,Lobzang Tubten Gelek Gyeltsen,18th Century,69
6045,Ngawang Jamyang Tashi,18th Century,69
3134,Ngawang Jamyang Tenzin Gyatso,18th Century,69
6982,Ngawang Sanggye Pelzang,18th Century,69
10394,Ngawang Tubten Kelzang Tenpai Dronme,18th Century,69
6349,Tenzin Rinchen,18th Century,69
6185,Tenzin Trinle,18th Century,69
2996,Konchok Jigme Wangpo,18th Century,69
8631,Chopa Lugu,18th Century,69
9690,Lobzang Tendzin Gyatso,18th Century,69
2819,Yeshe Tardo,18th Century,69
13740,Gyelpo Zhabdrung,18th Century,69
7582,Pema Norbu,18th Century,69
13838,Jangchub Nyima,18th Century,69
13841,Karma Jangchub Gyelpo,18th Century,69
13839,Drubgyud Tulku,18th Century,69
2409,Namkha Sengge,18th Century,69
4249,Kunga Tashi,18th Century,69
4691,Gyurme Tsewang Chokdrub,18th Century,69
13690,Khangchenne Sonam Gyelpo,18th Century,69
3783,Jigme Tenpai Gonpo,18th Century,69
7107,Ngawang Tenpai Gyeltsen,18th Century,69
5371,Jangchub Chopel,18th Century,69
6493,Ngawang Trinle Gyatso,18th Century,69
5436,Gendun Trinle Rabgye,18th Century,69
8584,Wosel Dorje Nyingpo,18th Century,69
8580,Choying Dorje,18th Century,69
2118,Kunzang Ngedon Wangpo,18th Century,69
8562,Jigme Rigdzin Gonpo,18th Century,69
8630,Pelden Dorje,18th Century,69
13175,Ngawang Trinle Pelzang,18th Century,69
13533,Yangchen Drolma,18th Century,69
13855,Tenzin Nyida,18th Century,69
9764,Ngawang Chokyi Gyatso,18th Century,69
5151,Orgyen Samten,18th Century,69
2720,Sonam Puntsok,18th Century,69
13878,Pema Chozin,18th Century,69
13877,Pema Chodzom,18th Century,69
11245,Karma Lhawang,18th Century,69
2788,Jigme Trinle Gyatso,19th Century,73
4727,Konchok Tenpai Gyeltsen,19th Century,73
5415,Ngawang Nyendrak,19th Century,73
3274,Jampa Gyatso,19th Century,73
13103,Lobzang Chokle Namgyel,19th Century,73
6535,Jigme Tenpai Nyima,19th Century,73
