community_id,lat,long,icon,map_priority_level_id,map_display_name,map_display_name_script
1620,29.1189812,88.8247631,,3,Luding Labrang,ཀླུ་སྡིངས་བླ་བྲང།
1624,36.6,102.2059,,3,Yutsa,གཡུ་ཚ་དགོན།
1627,33.4028,96.4152,,3,Pangshar,སྤན་ཤར་།
1630,31.6,99.96667,,3,Dontok,གདོང་ཐོག།
1631,32.93819,101.59311,,3,Dhīpu,དྷཱི་ཕུ་དགོན།
1632,31.93333,99.21667,,3,Yakdze,གཡག་ཟེ་དགོན།
1634,32.35,99.01667,,3,Tenpel,བསྟན་འཕེལ།
1636,33.01667,98.15,,3,Bumsar,འབུམ་གསར།
1637,37.050042,-121.810517,,3,Pema Osel Ling,
1638,42.1822134,-122.6762977,,3,Chagdud Dechen Ling,
1640,38.51611279,-123.1577726,,3,Ati Ling,ཨ་ཐིས་དགོན།
1641,40.73244439,-123.0664955,,3,Rigdzin Ling,རིག་འཛིན་གླིང།
1649,31.31667,100.23333,,3,Pelri,དཔལ་རི་དགོན།
1653,27.6657295,85.2913616,,3,Chobar,
1656,39.08181527,-77.37951042,,3,Kunzang Odsal Palyul Changchub Choling ,ཀུན་བཟང་འོད་གསལ་དཔལ་ཡུལ་བྱང་ཆུབ་ཆོས་གླིང།
1657,42.51568233,-75.79146197,,3,Palyul Retreat Center,
1658,32.02686834,77.13985601,,3,Dakpo Shedrubling,དྭགས་པོ་བཤད་སྒྲུབ་གླིང།
1659,15.0286195,75.0031857,,3,Drepung Gomang India,འབྲས་སྤུངས་སྒོ་མང་གྲྭ་ཚང།
1660,32.88966,101.72959,,3,Se Monastery,བསེ་དགོན།
1661,31.1050388,77.1979296,,3,Takten Puntsok Choling,རྟག་བརྟན་ཕུན་ཚོགས་ཆོས་གླིང།
1662,33.90766,76.829332,,3,Lingshed,ལིང་ཤེད།
1664,37.8763185,-122.2568344,,3,Nyingma Institute,
1665,40.7381318,-73.9939507,,3,Yeshe Nyingpo,
1666,34.7827308,-112.294823,,3,Garchen Buddhist Institute,
1667,42.41273865,-74.04110884,,3,Orgyen Chö Dzong,
1668,40.75831476,-74.25707023,,3,Tibet Center,
1670,37.2034983,-122.1174708,,3,Vajrapani Institute,
1673,30.33333,99.35,,3,Jangkar Monastery,བྱང་དཀར་དགོན།
1676,30.78333,101.75,,3,Nego Monastery,གནས་འགོ་དགོན།
1678,32.23270139,76.32437118,,3,Tekchen Choling Tsuklagkhang,ཐེག་ཆེན་ཆོས་གླིང་གཙུག་ལག་ཁང།
1679,47.92756405,106.9207354,,3,Dashchoilin Khiid,བཀྲ་ཤིས་ཆོས་འཁོར་གླིང།
1681,46.288137,44.223989,,3,Geden Sheddup Choikorling,དགའ་ལྡན་བཤད་སྒྲུབ་ཆོས་འཁོར་གླིང།
1682,51.78455977,107.6099328,,3,Green Tara Center,
1683,55.77942441,37.67597452,,3,Moscow Buddhist Center Lama Tsongkhapa,
1685,27.7163106,88.5584527,,3,Lachen Monastery,ལ་ཆེན་དགོན།
1686,27.8980611,88.5369794,,3,Thangu Monastery,ཐང་སྒོ།
1687,31.70842,98.575296,,3,Changra Palace,ལྕང་ར་ཕོ་བྲང།
1688,40.722194,-73.993484,,3,John Giorno Foundation,
1689,37.92223009,-105.6382604,,3,Tashi Gomang,བཀྲ་ཤིས་སྒོ་མང།
1690,40.73982021,-73.99374337,,3,Tibet House,ཨ་རི་བོད་ཁང།
1691,42.96298904,-89.3522928,,3,Deer Park Buddhist Center,
1692,27.18603408,88.67760977,,3,Rinak,རི་ནག།
1694,28.22099,89.716454,,3,Drumpa Monastery,གྲུམ་པ་དགོན།
1695,27.3286872,88.5861678,,3,Kagyu Tsekchok Ling,བཀའ་བརྒྱུད་ཚེ་མཆོག་གླིང།
1696,27.29897,88.627532,,3,Papyuk,སྤ་པཡཧུག།
1698,31.91844,102.10675,,3,Namgyelteng,རྣམ་རྒྱལ་སྟེང།
1700,39.12328487,-86.48634237,,3,Tibetan Mongolian Buddhist Cultural Center,
1701,32.45445,96.03696,,3,Dilyak,དིལ་ཡག།
1703,36.13045,98.38606,,3,Aten Tsamkhang,ཨ་བརྟན་མཚམས་ཁང།
1705,29.83333,99.81667,,3,Kolri,ཁོལ་རི།
1707,25.3649618,83.0210108,,3,CIHTS,
1708,31.86974,102.29194,,3,Tsakho,ཚ་ཁོ།
1709,29.91667,89.48333,,3,Zablung,ཟབ་ལུང།
1711,35.509293,99.800546,,3,Drakkar Treldzong,བྲག་དཀར་སྤྲེལ་རྫོང།
1713,32.76,100.8,,3,Tashi Gomang,བཀྲ་ཤིས་སྒོ་མང།
1714,27.03852,88.46143,,3,Durpin Monastery,
