biography_id,person_id,published_display_date,updated_display_date,initial_approval_date
517,10572,April 2011,,2011-04-13 15:54:01
518,3889,April 2011,April 2012,2011-05-18 14:13:51
519,7918,April 2011,,2011-04-14 15:17:18
520,7676,April 2011,,2011-05-06 15:43:05
521,8355,April 2011,,2011-04-14 15:17:20
522,7644,April 2011,,2011-04-19 13:42:15
523,4379,April 2011,,2011-06-21 14:44:31
524,13133,April 2011,,2011-04-14 15:17:23
525,8028,April 2011,,2011-04-14 16:42:42
526,4372,April 2011,,2011-04-27 16:56:04
527,7895,April 2011,,2011-04-14 16:42:44
528,8343,April 2011,,2011-04-14 16:46:06
529,2949,April 2011,,2011-04-19 11:10:54
530,2788,April 2011,,2011-04-22 11:18:40
531,4665,April 2011,,2011-04-22 11:18:41
532,7736,April 2011,,2011-04-25 16:41:23
533,10571,April 2011,,2011-05-10 16:40:52
534,13134,April 2011,,2011-04-25 16:41:25
535,4028,April 2011,,2011-04-25 16:41:26
536,2776,April 2011,,2011-07-06 16:33:16
537,2436,April 2011,,2011-04-28 18:17:22
538,3074,April 2011,,2011-04-28 12:06:47
539,5426,April 2011,,2011-04-28 12:06:48
540,3000,April 2011,,2011-05-02 13:21:05
541,6505,April 2011,,2011-04-29 10:22:14
542,2180,April 2011,,2011-05-04 12:34:40
543,6548,April 2011,,2011-05-04 12:16:55
544,9753,April 2011,,2011-05-18 17:16:28
545,13135,March 2011,,2011-05-05 12:14:34
546,3977,April 2011,April 2012,2011-05-18 14:15:05
547,6493,April 2011,,2011-07-05 10:46:30
548,5436,April 2011,,2011-05-19 11:46:03
549,7815,May 2011,,2011-05-23 12:27:44
550,8782,May 2011,,2011-05-23 12:27:45
551,7601,May 2011,,2011-05-23 17:10:35
552,10372,May 2011,,2011-05-23 17:10:36
553,10482,May 2011,,2011-05-23 17:10:38
554,10311,May 2011,,2011-05-23 17:10:39
555,4727,May 2011,,2011-07-05 14:21:14
556,3086,April 2011,,2011-07-05 14:21:14
557,6529,April 2011,,2011-05-26 15:03:27
558,13139,June 2011,,2011-06-09 9:51:57
559,4309,June 2011,,2011-06-09 14:34:52
560,10591,June 2011,,2011-06-14 13:41:35
561,2926,June 2011,,2011-06-14 13:41:36
562,5410,June 2011,,2011-06-14 13:41:37
563,4524,June 2011,,2011-06-14 13:41:39
564,6634,June 2011,,2011-06-14 13:41:40
565,5490,June 2011,,2011-06-14 13:41:42
566,2521,June 2011,,2011-06-14 13:41:43
567,13140,June 2011,,2011-06-17 10:54:59
568,8571,June 2011,,2011-06-23 16:35:26
569,9923,June 2011,,2011-06-21 12:17:00
570,8177,March 2011,,2011-06-23 11:00:28
571,7719,March 2011,,2011-06-22 11:17:05
572,10171,March 2011,,2011-06-22 11:17:06
573,8539,April 2011,,2011-06-22 11:17:07
574,8580,April 2011,,2011-07-27 22:24:45
575,9201,June 2011,,2011-07-05 15:39:43
576,2996,June 2011,,2011-07-05 14:21:14
577,4000,June 2011,,2011-06-30 12:32:41
578,7064,July 2011,,2011-07-05 15:22:57
579,10892,July 2011,,2011-07-13 11:13:07
580,6214,July 2011,,2011-07-06 16:26:58
581,5500,July 2011,,2011-07-11 11:34:42
582,10199,July 2011,,2011-07-26 18:12:48
583,2810,July 2011,,2011-07-27 16:25:58
584,8562,July 2011,,2011-07-28 15:38:51
585,8609,July 2011,,2011-07-28 15:38:53
586,8610,July 2011,,2011-07-28 15:38:54
