tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,Ganden Trichen 24 Jampa Gyatso,en
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,Zhogpa Jampa Gyatso,en
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,Ngon-gawa Jampa Gyatso,en
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,chos rje mngon dga' ba,bo-x-ewts
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,Choje Ngon-gawa ,en
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,Trichen 24 ,en
6872,P4434,"The Twenty-Fourth Ganden Tripa, Jampa Gyatso",dga' ldan khri pa 24 byams pa rgya mtsho,khri chen 24,bo-x-ewts
6874,P4436,Sonam Chopel,bsod nams chos 'phel,Sonam Rabten,en
6874,P4436,Sonam Chopel,bsod nams chos 'phel,bsod nams rab brtan,bo-x-ewts
6874,P4436,Sonam Chopel,bsod nams chos 'phel,zhal ngo bsod nams rab brtan,bo-x-ewts
6874,P4436,Sonam Chopel,bsod nams chos 'phel,phyag mdzod bsod nams chos 'phel,bo-x-ewts
6874,P4436,Sonam Chopel,bsod nams chos 'phel,sde srid bsod nams chos 'phel,bo-x-ewts
6874,P4436,Sonam Chopel,bsod nams chos 'phel,rgya lo chos mdzad bsod nams chos 'phel,bo-x-ewts
6874,P4436,Sonam Chopel,bsod nams chos 'phel,Gyale Chondze,en
6874,P4436,Sonam Chopel,bsod nams chos 'phel,Chakdzo Sonam Chopel,en
6874,P4436,Sonam Chopel,bsod nams chos 'phel,Gyalo Chodze Sonam Chopel,en
6874,P4436,Sonam Chopel,bsod nams chos 'phel,Desi Sonam Chopel,en
6874,P4436,Sonam Chopel,bsod nams chos 'phel,Zhelngo Sonam Rabten,en
6874,P4436,Sonam Chopel,bsod nams chos 'phel,Awu,en
6878,P444,yon tan rgya mtsho,yon tan rgya mtsho,yon tan rgya mtsho,bo-x-ewts
6881,P4443,dkon mchog rgyal mtshan,dkon mchog rgyal mtshan,dkon mchog rgyal mtshan,bo-x-ewts
6888,P445,kun dga' nyi ma,kun dga' nyi ma,kun dga' nyi ma,bo-x-ewts
6890,P4451,jigs med blo gros rgya mtsho,jigs med blo gros rgya mtsho,gling sprul,bo-x-ewts
6892,P4453,Ziji Bar,gzi brjid 'bar,Ribong Menpa Ziji Bar,en
6892,P4453,Ziji Bar,gzi brjid 'bar,zhang ston gzi brjid 'bar,bo-x-ewts
6892,P4453,Ziji Bar,gzi brjid 'bar,ri bong sman pa gzi brjid 'bar,bo-x-ewts
6892,P4453,Ziji Bar,gzi brjid 'bar,Zhangton Ziji Bar,en
