person_id,name_variant_text,language_encoding_tag_id,language_encoding_tag_id
2495,Drungpa Sherab Gyatso,en,2
2495,Drungchen Sherab Gyatso,en,2
2495,drung chen shes rab rgya mtsho,bo-x-ewts,1
2504,jo mo lha rje ma,bo-x-ewts,1
2504,Jomo Lhajema,en,2
2504,zha chung ma,bo-x-ewts,1
2504,Zhachungma,en,2
2506,blo bzang thub bstan 'jigs med rgya mtsho,bo-x-ewts,1
2506,jigs med rgya mtsho,bo-x-ewts,1
2506,blo bzang thub bstan 'jigs med dbang po'i sde,bo-x-ewts,1
2506,jam dbyangs bzhad pa 03 blo bzang thub bstan 'jigs med rgya mtsho,bo-x-ewts,1
2506,shis tshang gdan rabs 01 blo bzang thub bstan 'jigs med rgya mtsho,bo-x-ewts,1
2506,bla brang khri 27 blo bzang thub bstan 'jigs med rgya mtsho,bo-x-ewts,1
2506,Jamyang Zhepa 03 Lobzang Tubten Jigme Gyatso,en,2
2506,Jigme Gyatso,en,2
2506,Labrang Tripa 27 Lobzang Tubten Jigme Gyatso,en,2
2506,Lobzang Tubten Jigme Wangpo De,en,2
2506,Shitsang Denrab 01 Lobzang Tubten Jigme Gyatso,en,2
2506,Lobzang Tubten Jigme Gyatso,en,2
2510,dam pa sangs rgyas,bo-x-ewts,1
2510,mi pham mgon po,bo-x-ewts,1
2510,Dampa Sanggye,en,2
2510,Mipam Gonpo,en,2
2510,dam pa rgya gar,bo-x-ewts,1
2510,Dampa Gyagar,en,2
2510,dam pa rgya gar nag chung,bo-x-ewts,1
2510,Dampa Gyagar Nakchung,en,2
2521,skal ldan 07 blo bzang 'phrin las lung rtogs rgya mtsho,bo-x-ewts,1
2521,Kelden 07 Lobzang Trinle Lungtok Gyatso,en,2
2523,dga' ldan khri pa 34 ngag dbang chos kyi rgyal mtshan,bo-x-ewts,1
2523,gsal khang sku skye 2 ngag dbang chos kyi rgyal mtshan,bo-x-ewts,1
2523,phan yul pa ngag dbang chos kyi rgyal mtshan,bo-x-ewts,1
2523,stag khang sku skye ngag dbang chos kyi rgyal mtshan,bo-x-ewts,1
2523,Phenyulpa Ngawang Chokyi Gyeltsen,en,2
2523,Salkhang Kukye Ngawang Chokyi Gyeltsen ,en,2
2523,Ganden Tripa 34 Ngawang Chokyi Gyeltsen,en,2
2523,Ganden Trichen 34 Ngawang Chokyi Gyeltsen,en,2
2523,dga' ldan khri chen 34 ngag dbang chos kyi rgyal mtshan,bo-x-ewts,1
2523,Takang Kukye Ngawang Chokyi Gyeltsen,en,2
2523,Trichen Ngawang Chokyi Gyeltsen,en,2
2523,khri pa ngag dbang chos kyi rgyal mtshan,bo-x-ewts,1
2527,la mo 06 ngag dbang mchog grub bstan pa'i rgyal mtshan,bo-x-ewts,1
