person_id,tbrc_rid,default_name,tradition_id,tradition_name
12906,P3JM101,Tubten Trinle Gyatso,1,Nyingma
12981,P3JM56,Pema Gargyi Wangchuk,1,Nyingma
12982,P3JM57,Polu Khenpo Dorje,1,Nyingma
13057,P3AG58,Gyelwai Lodro,1,Nyingma
13058,P3AG55,Wodren Pelgyi Wangchuk,1,Nyingma
13072,P2CZ8003,Gara Lama Sonam Rabten,1,Nyingma
13077,P3AG56,Khyeuchung Lotsāwa,1,Nyingma
13120,P2AG27,Drodul Dorji Tenzin,1,Nyingma
13121,P2AG28,Drubtob Namgyel Lhundrub,1,Nyingma
13122,P2AG30,Jigme Drodon Dorje,1,Nyingma
13123,P2AG32,Jigme Tenpai Gyeltsen,1,Nyingma
13124,P2AG29,Jigme Kundrol Namgyel,1,Nyingma
13127,P2AG36,Ngawang Tenzin Gyatso,1,Nyingma
13128,P2AG33,Tekchok Tenpai Gyeltsen,1,Nyingma
13133,P3AG16,Kunzang Trinle Namgyel,1,Nyingma
13134,P3AG17,Katokpa Jangchub Gyeltsen,1,Nyingma
13139,P3AG24,Ayu Khandro Dorje Peldron,1,Nyingma
13142,P3AG26,Tenpai Nyima,1,Nyingma
13143,P3AG27,Orgyen Tenpai Nyinje,1,Nyingma
13145,P3AG29,Tendzin Sizhi Namgyel,1,Nyingma
13146,P3AG30,Orgyen Gelek Namgyel,1,Nyingma
13147,P3AG31,Drubwang Drakpa Gyeltsen,1,Nyingma
13148,P3JM110,Konchok Tenpai Gyeltsen,1,Nyingma
13149,P3AG39,Konchok Jigme Wangpo,1,Nyingma
13150,P3AG40,Zhonnu Lodro,1,Nyingma
13151,P3AG41,Konchok Tenpai Nyima,1,Nyingma
13152,P3AG42,Jikdrel Tsewang Dorje,1,Nyingma
13157,P3AG52,Gyakob Tulku Kunzang,1,Nyingma
13162,P3AG54,Garwang Lerab Lingpa,1,Nyingma
13163,P3AG53,Tenpai Nyima,1,Nyingma
13169,P3AG60,Sonam Tseten,1,Nyingma
13170,p3ag61,Tashi Wozer,1,Nyingma
13178,P10MS14637,Tubten Lungrik Gyatso,1,Nyingma
13181,P8LS12401,Tubten Tsultrim Gyatso,1,Nyingma
13187,P10MS14671,Tsewang Lhamo,1,Nyingma
13189,P8LS12707,Kelzang Pema Wanggyel,1,Nyingma
13190,P8LS12706,Ngawang Jampel Mingyur Lhundrub Dorje,1,Nyingma
13191,P8LS12705,Kunzang Gyurme Lhundrub,1,Nyingma
13196,P10MS14674,Sonam Peldren,1,Nyingma
13197,P10MS14675,Chowang Dorje Dzinpa,1,Nyingma
13204,P8LS12196,Demchok Dorje,1,Nyingma
13205,P2CZ7891,Chokyi Dronma,1,Nyingma
13206,P8LS12641,Kunga Zangmo,1,Nyingma
13227,P11MS246,Gyurme Pema Tekchok,1,Nyingma
13228,P11MS244,Gyurme Tekchok Tenpa Namgyel,1,Nyingma
13431,P1AG4,Choje Gangpa Rinchen Wozer,1,Nyingma
13438,P1AG10,Lama Tsentrangwa,1,Nyingma
13452,P1AG26,Nyida Sanggye,1,Nyingma
13453,P1AG27,Getse Pema,1,Nyingma
13454,P1AG28,Gyurme Tenpel Chozang,1,Nyingma
13455,P1AG29,Gyurme Tubten Nyinje,1,Nyingma
13509,P3CN364,Trimalo,1,Nyingma
13516,P1AG71,Botar Lodro Tobden,1,Nyingma
13532,P1AG85,Puntsok Tenpa,1,Nyingma
13533,P1AG87,Yangchen Drolma,1,Nyingma
13534,P8LS4334,Tsepo Tsawarong,1,Nyingma
13535,P8LS4335,Nangso Damepa,1,Nyingma
13536,P2LS262,Jampa Rabten,1,Nyingma
13537,P8LS4337,Lhagyari Drale Namgyel,1,Nyingma
13538,P8LS4338,Lhagyari Jikten Wangchuk,1,Nyingma
13539,P8LS4340,Lhagyari Yulkhor Wangchuk,1,Nyingma
13541,P8LS4341,Lhagyari Sonam Rabten,1,Nyingma
13542,P8LS4342,Lhagyari Ganden Pelbar,1,Nyingma
13543,P8LS4343,Lhagyari Lobzang Tutob Chogyel,1,Nyingma
13558,P8LS4344,Lhagyari Tsering Pelbar,1,Nyingma
13559,P8LS4345,Lhagyari Zilnon Wangchuk,1,Nyingma
13560,P8LS4346,Lhagyari Tri Songwanggyel,1,Nyingma
13561,P8LS4350,Lhagyari Namgyel Wangchuk,1,Nyingma
13562,P8LS4347,Lhagyari Tobjor Wangchuk,1,Nyingma
13563,P8LS4348,Lhagyari Jigme Wangchuk,1,Nyingma
13564,P8LS4349,Lhagyari Kelzang Nyendrak,1,Nyingma
13566,P1TD28,Semarkar,1,Nyingma
13588,P2KT11,Danzan Ravjaa,1,Nyingma
13597,P1AG112,Dawo Wangmo,1,Nyingma
13612,P1AG114,Kunzang Chokyi Drolma,1,Nyingma
13617,P1KG9679,Khordong Terchen Nuden Dorje,1,Nyingma
13648,P8LS76445,Sindrang Yab Gomchen Dorje Lopen Chewang Rinzin Tagchungdarpa,1,Nyingma
13650,P8LS76447,Drubtob Pema Trinle,1,Nyingma
13653,P8LS76438,Jamyang Chokyi Wangpo,1,Nyingma
13654,P8LS76435,Jamyang Khyentse Chokyi Wangchuk,1,Nyingma
13659,P3JT12060,Tokden Orgyen Tenzin,1,Nyingma
13686,P9904,Samten Gyatso,1,Nyingma
13688,P8LS76439,Khamtrul Sherab Mebar,1,Nyingma
13689,P1KG9680,Chime Rigdzin,1,Nyingma
13692,P8LS76436,Konchok Peldron,1,Nyingma
13697,,Tsering Chodron,1,Nyingma
13699,P8LS76451,Ngawang Jampel Rinchen,1,Nyingma
13700,P8LS76450,Dorje Sengge,1,Nyingma
13747,,Chime Dorje,1,Nyingma
13748,,Lama Sangngak,1,Nyingma
13749,,Tersey Tulku,1,Nyingma
13750,,Tashi Chime,1,Nyingma
13773,P4CZ10542,Gelongma Pelmo,1,Nyingma
13787,,Sonam Sengge Wangchuk,1,Nyingma
13788,P1TD59,Chime Dolkar,1,Nyingma
13809,P1TD90,Tsering Wangmo,1,Nyingma
13810,,Lama Dribdel,1,Nyingma
13811,,Lama Gyurdrak,1,Nyingma
13812,,Pelling Ani Wangdzin,1,Nyingma
13815,P1TD67,Delok Dawa Drolma,1,Nyingma
13817,,Gonpo Wanggyel,1,Nyingma
13819,P1TD82,Kunzang Wangmo,1,Nyingma
13820,P1TD80,Kunzang Dechen,1,Nyingma
13828,P1TD70,Gyarong Khandro Dechen Wangmo,1,Nyingma
13837,,Drubgyud Tulku,1,Nyingma
13843,P1TD122,Tseten Yudron,1,Nyingma
13850,P1TD74,Khandro Bumo Trinle Peldron,1,Nyingma
13860,,Karma Zopa Zangpo,1,Nyingma
13868,,Tenzin Gyatso,1,Nyingma
13877,,Pema Chodzom,1,Nyingma
13878,,Pema Chozin,1,Nyingma
